origin_area,emissions_origin_area_2,activity,economic_activity,time_period,S1,S2,S3U,total_s1_s2_s3u,prod_value,s1_ef,s2_ef,s3u_ef,total_ef
DEU,Germany,H53,Postal and courier activities,2020,4327,1155,7789,13271,58904.132,0.07345834414468581,0.019608132074673473,0.13223181015552526,0.22529828637488455
DEU,Germany,B09,Mining support service activities,2020,22,10,50,82,553.51,0.0397463460461419,0.018066520930064497,0.09033260465032249,0.14814547162652889
DEU,Germany,I,Accommodation and food service activities,2020,2521,3377,11806,17704,76959.996,0.032757278209837745,0.04387993991059979,0.15340437387756622,0.23004159199800375
DEU,Germany,O,Public administration and defence; compulsory social security,2020,4916,5941,26243,37100,363110.543,0.013538576873544539,0.016361408707430452,0.07227275689431029,0.10217274247528527
DEU,Germany,H49,Land transport and transport via pipelines,2020,14616,6193,14991,35800,127275.685,0.11483733126244813,0.04865815493352089,0.11778369136257251,0.28127917755854154
DEU,Germany,H50,Water transport,2020,28132,62,16981,45175,33772.305,0.8329902267553251,0.001835823761511096,0.5028084402293536,1.33763449074619
DEU,Germany,H51,Air transport,2020,12633,45,5029,17707,19300.238,0.6545515138207103,0.0023315774655214097,0.2605667349801593,0.917449826266391
DEU,Germany,J62_63,"Computer programming, consultancy, and information service activities",2020,591,844,7490,8925,194348.565,0.003040928035666227,0.004342712795435356,0.03853900336233509,0.045922644193436675
DEU,Germany,N,Administrative and support service activities,2020,1052,2670,18898,22620,273798.44,0.0038422424904977544,0.009751699096605518,0.06902157660211651,0.08261551818921978
DEU,Germany,L,Real estate activities,2020,507,4369,18703,23579,510841.471,9.924801113103052e-4,0.008552555436518191,0.036612141068711315,0.046157176616539806
DEU,Germany,M,"Professional, scientific and technical activities",2020,4011.9999999999995,4940,21919,30871,457702.184,0.008765525138940564,0.010793044413351542,0.04788921872393775,0.06744778827622985
DEU,Germany,F,Construction,2020,9344,4159,84838,98341,438286.559,0.021319385247221326,0.009489225518321221,0.19356742354492326,0.22437603431046582
DEU,Germany,P,Education,2020,3081,2601,7123,12805,227517.915,0.013541790764037196,0.011432066789114168,0.031307424736201545,0.056281282289352905
DEU,Germany,T,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,2020,0,0,0,0,8919.559,0,0,0,0
DEU,Germany,Q,Human health and social work activities,2020,6121,8459,28239,42819,475271.611,0.012878951442357452,0.017798243792011385,0.059416551181299154,0.09009374641566799
DEU,Germany,E,"Water supply; sewerage, waste management and remediation activities",2020,16571,2806,10920,30297,87358.436,0.18968975131377122,0.03212053842172724,0.12500223790636544,0.34681252764186393
DEU,Germany,S,Other service activities,2020,4608,2405,6154,13167,106291.018,0.043352675387867676,0.022626559094579377,0.05789764851062015,0.1238768829930672
DEU,Germany,J61,Telecommunications,2020,246,1634,6124,8004,81736.129,0.0030096849827571355,0.01999115960091528,0.07492402778213292,0.09792487236580533
DEU,Germany,H52,Warehousing and support activities for transportation,2020,9370,1941,24971,36282,164747.175,0.05687502684036919,0.011781689124563139,0.15157164303424323,0.22022835899917556
DEU,Germany,K,Financial and insurance activities,2020,1414,2794,14389,18597,317059.661,0.004459728479934254,0.00881222162159569,0.04538262595316406,0.058654576054694006
DEU,Germany,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2020,16328,16132.000000000002,54370,86830,697601.619,0.023405908981985895,0.023124946331295717,0.07793846590829086,0.12446932122157246
DEU,Germany,R,"Arts, entertainment and recreation",2020,873,1449,3650,5972,62490.191,0.013970192537897668,0.02318763916084046,0.058409166968300674,0.0955669986670388
DEU,Germany,B07_08,Mining and quarrying of non-energy producing products,2020,1321,259,1427,3007,8394.346,0.1573678282977614,0.030854101081847236,0.16999537545867183,0.35821730483828046
DEU,Germany,C29,"Manufacture of motor vehicles, trailers and semi-trailers",2020,6257,4474,80575,91306,396578.542,0.01577745474690862,0.011281497928347317,0.20317539016016656,0.2302343428354225
DEU,Germany,C27,Manufacture of electrical equipment,2020,789,1753,26851,29393,121097.935,0.006515387731425809,0.014475886810126036,0.22172962734665955,0.24272090188821138
DEU,Germany,A03,Fishing and aquaculture,2020,30,19,100,149,720.606,0.04163162671418223,0.02636669691898208,0.1387720890472741,0.20677041268043841
DEU,Germany,C26,"Manufacture of computer, electronic and optical products",2020,1107,1321,18373,20801,104850.938,0.010557845462479315,0.012598838171576492,0.17522971516001126,0.19838639879406708
DEU,Germany,C28,Manufacture of machinery and equipment n.e.c.,2020,2390,3851,55559,61800,278381.129,0.008585352062423742,0.013833552632800766,0.19957890177246893,0.22199780646769343
DEU,Germany,C30,Manufacture of other transport equipment,2020,545,365,11291,12201,54154.017,0.010063888704692027,0.006740035554518514,0.20849792177005078,0.22530184602926132
DEU,Germany,B05_06,Mining and extraction of energy producing products,2020,3981,271,2508,6760,891.718,4.464415880356794,0.30390773764800083,2.812548361701794,7.580871979706589
DEU,Germany,J58T60,"Publishing, motion picture, video, television programme production; sound recording, programming and broadcasting activities",2020,591,858,5853,7302,75146.604,0.007864626856590885,0.011417681629365446,0.07788775125486708,0.0971700597408234
DEU,Germany,C24,Manufacture of basic metals,2020,52627,5660,65567,123854,95380.151,0.5517605020356908,0.059341487098295745,0.6874281421508758,1.2985301312848625
DEU,Germany,C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2020,1161,1286,12981,15428,62918.934,0.018452315164780127,0.020438998537387808,0.2063130948785623,0.24520440858073025
DEU,Germany,C31T33,"Manufacture of furniture; jewellery, musical instruments, toys, etc.; repair and installation of machinery and equipment",2020,1134,1220,21878,24232,115169.059,0.009846394594575963,0.01059312293243622,0.18996421599658986,0.21040373352360203
DEU,Germany,C22,Manufacture of rubber and plastics products,2020,2367,3148,20406,25921,89807.59,0.026356346941277458,0.03505271659110327,0.2272191025279712,0.2886281660603519
DEU,Germany,C25,"Manufacture of fabricated metal products, except machinery and equipment",2020,2582,2990,38552,44124,143231.951,0.01802670411157075,0.020875230555227164,0.2691578221956915,0.30805975686248943
DEU,Germany,C23,Manufacture of other non-metallic mineral products,2020,36444,3165,15195,54804,57134.858,0.6378592907328132,0.05539525450470184,0.2659497289728103,0.9592042742103253
DEU,Germany,D,"Electricity, gas, steam and air conditioning supply",2020,187975,42447,25096,255518,154766.166,1.2145742500334342,0.274265371411992,0.1621543044492037,1.65099392589463
DEU,Germany,A01_02,"Crop and animal production, hunting and related service activities; Forestry and logging",2020,62662,2009.9999999999998,15354,80026,67033.286,0.9347893224270701,0.029985103221703915,0.22905038550549353,1.1938248111542675
DEU,Germany,C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2020,592,811,8595,9998,30022.215,0.019718731612574224,0.027013329962496106,0.28628800373323554,0.33302006530830586
DEU,Germany,C20,Manufacture of chemicals and chemical products,2020,27415,5034,40631,73080,154321.585,0.17764851235813836,0.0326201937337541,0.26328786086534817,0.47355656695724063
DEU,Germany,C17_18,Manufacture of paper and paper products; printing and reproduction of recorded media,2020,9581,2769,12166,24516,59293.281,0.16158660540306413,0.04670006370536317,0.20518345071847177,0.4134701198268991
DEU,Germany,C10T12,Manufacture of food products; beverages and tobacco products,2020,11650,4372,87097,103119,234079.159,0.04976948844899088,0.018677442360428165,0.37208353093920676,0.4405304617486258
DEU,Germany,C19,Manufacture of coke and refined petroleum products,2020,27726,1650,26094,55470,52271.619,0.5304216806447108,0.03156588664299837,0.499200149128727,1.0611877164164363
DEU,Germany,C13T15,"Manufacture of textiles, wearing apparel, leather and related products",2020,575,698,5031,6304,22954.172,0.025049912495210023,0.030408415515924516,0.21917584306678542,0.27463417107792
