lca_id,used_in_sampleset,emission_factor_s1_per_euro,emission_factor_s2_per_euro,emission_factor_s3_per_euro,emission_factor_per_euro,nace_2_list,nace_section_list
9bdafe1f-df2a-46b8-86e8-b8c9381ededf,true,0.477788,0.015326,0.117072,0.610186,"[""A01""]","[""Agriculture, forestry and fishing""]"
7644b214-399e-4db7-9e4b-e8b82ae81a75,false,0.731975,0.02348,0.179355,0.9348099999999999,"[""A01""]","[""Agriculture, forestry and fishing""]"
505b6f65-8dca-49da-accc-20aefd427277,true,0.004509,0.004851,0.086986,0.09634599999999999,"[""C33"",""G47"",""S95""]","[""Manufacturing"",""Other service activities"",""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
cbf09ab8-ead0-4069-96cd-d5d0a72f9cf9,true,0.004707,0.006833,0.046614,0.058154000000000004,"[""J58"",""J59"",""J60"",""J63""]","[""Information and communication""]"
e5163d12-7704-45e2-bd27-16118d559a9c,true,0.008799,0.010834,0.04807,0.067703,"[""M70"",""M73""]","[""Professional, scientific and technical activities""]"
1d9b8588-6969-4000-b94a-0efc9f94ffea,true,0.014387,0.028428,0.146403,0.189218,"[""K64""]","[""Financial and insurance activities""]"
24b23d6d-c5f8-4b8c-beb1-88010b22b131,true,0.003302,0.004793,0.0327,0.040795,"[""J59""]","[""Information and communication""]"
be424c06-d8b4-4cf8-9613-cbb56ef56307,true,0.018226,0.008113,0.165484,0.191823,"[""F43""]","[""Construction""]"
5cff72dd-4b58-4871-954a-9d6b9dc4606d,false,0.011911,0.016461,0.054953,0.08332500000000001,"[""Q86""]","[""Human health and social work activities""]"
a4a2b8a0-3a23-414b-9cf3-dc622577dedd,true,0.036314,0.007522,0.096776,0.14061200000000001,"[""H52"",""N81""]","[""Administrative and support service activities"",""Transportation and storage""]"
a92c5379-ca9a-4d4b-a67a-dcc54825ee42,true,0.041479,0.015567,0.310107,0.367153,"[""C10""]","[""Manufacturing""]"
8a7326cc-8a38-4a75-91db-12c593b63d5a,true,0.017922,0.024007,0.083928,0.125857,"[""I55""]","[""Accommodation and food service activities""]"
5cf4e8db-3051-4a9e-9b76-67a5d3221be5,true,0.00291,0.003473,0.0483,0.054683,"[""C26""]","[""Manufacturing""]"
94f6ddfb-eb34-4a23-afb5-65ad4503f994,true,0.006146,0.007117,0.091762,0.105025,"[""C25"",""C28"",""C32""]","[""Manufacturing""]"
0547bd65-2d3a-4052-856d-42ee1af983c9,true,0.16154,0.017374,0.201259,0.380173,"[""C24""]","[""Manufacturing""]"
1bcbe641-3373-4793-b902-b7bf6d5ba0ff,true,0.016648,0.016448,0.055437,0.088533,"[""G46""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
bfb89d61-9273-4893-b6cf-e243cd758513,true,0.033635,0.012623,0.251458,0.29771600000000004,"[""C10""]","[""Manufacturing""]"
490e508d-fc8f-4cd8-b52a-0b1ca29a9f6e,true,0.025952,0.02564,0.086416,0.13800800000000002,"[""G46""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
939c8515-cf33-4943-b48a-cb033b7386f3,true,0.018117,0.0179,0.060328,0.096345,"[""G47""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
caced437-8700-4e64-8fc9-5b433a37552c,true,0.401669,0.012884,0.098421,0.512974,"[""A01""]","[""Agriculture, forestry and fishing""]"
6278e814-79e9-4c64-869b-f02b74dabaf5,true,0.026314,0.034997,0.226856,0.288167,"[""C22""]","[""Manufacturing""]"
d11a2b2f-281e-44a9-8d21-ae6a8955ebc5,true,0.005402,0.005812,0.104226,0.11544,"[""C31""]","[""Manufacturing""]"
527db52c-05ad-408f-a2da-87703d4a46c3,true,0.005572,0.008978,0.129533,0.14408300000000002,"[""C28""]","[""Manufacturing""]"
3d27962b-08d5-4aa6-9c72-cb0dd9be9ebd,true,0.258534,0.047472,0.383166,0.689172,"[""C19"",""C20""]","[""Manufacturing""]"
14fca176-6c5a-4a6f-90bf-b696d85e3f6f,true,0.017628,0.017416,0.058698,0.093742,"[""G46""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
f888a054-72c8-416e-bc6c-f4a3950f6945,false,0.017922,0.024007,0.083928,0.125857,"[""I55""]","[""Accommodation and food service activities""]"
a35ebb64-9d51-48d8-b362-b9990556b2fc,true,0.731975,0.02348,0.179355,0.9348099999999999,"[""A01""]","[""Agriculture, forestry and fishing""]"
5728fb4d-88df-49cf-aaf6-4c0b2536b2cb,true,0.036314,0.007522,0.096776,0.14061200000000001,"[""H52"",""N81""]","[""Administrative and support service activities"",""Transportation and storage""]"
bd639976-0929-468a-8123-6fc523c0c27f,true,0.011619,0.014306,0.063477,0.08940200000000001,"[""M71"",""S95""]","[""Other service activities"",""Professional, scientific and technical activities""]"
af981eb6-4235-4860-9edc-1483aa834887,true,0.398799,0.00142,0.158756,0.558975,"[""H51""]","[""Transportation and storage""]"
5013ee40-fb8a-4361-907c-27cefadbf73b,true,0.006091,0.0075,0.033279,0.04687,"[""M69""]","[""Professional, scientific and technical activities""]"
fbcb5397-93ab-494b-b631-9d2f3d153b0a,true,0.010912,0.018111,0.045622,0.074645,"[""R90"",""R91"",""R93""]","[""Arts, entertainment and recreation""]"
572e74e2-efbb-47f3-8acc-b250f8629e40,true,0.276614,0.008873,0.067779,0.3532660000000001,"[""A01""]","[""Agriculture, forestry and fishing""]"
4b852e4c-02d0-4140-8078-302296ff2ef6,true,0.011911,0.016461,0.054953,0.08332500000000001,"[""Q86"",""Q88""]","[""Human health and social work activities""]"
466385a3-7913-44f5-aeb5-41d33450042f,true,0.0142,0.01403,0.047284,0.075514,"[""G47""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
dbc3d3be-a31d-4cb1-91ee-dc84d01282dc,false,0.165135,0.06997,0.169372,0.404477,"[""H49""]","[""Transportation and storage""]"
3e32d336-f0c1-47e8-b40c-d11fba552ad4,true,0.021218,0.020964,0.070654,0.11283599999999999,"[""G47""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
2c5d4ccd-8f4f-4168-b4a6-b1ed87477060,true,0.022334,0.030865,0.103037,0.15623599999999999,"[""Q86""]","[""Human health and social work activities""]"
b3dea0a1-fb8c-4f10-9220-6e092ad4d350,true,0.2303,0.02,0.096022,0.346322,"[""C23""]","[""Manufacturing""]"
b4bb9a87-dfd8-428b-80a4-5fced33b2def,true,0.025952,0.02564,0.086416,0.13800800000000002,"[""G46""]","[""Wholesale and retail trade; repair of motor vehicles and motorcycles""]"
fa75f766-cab1-4720-8f3e-15f62473e77f,true,0.016315,0.021854,0.076403,0.114572,"[""I56""]","[""Accommodation and food service activities""]"
4d145e0f-0ceb-42d0-8b78-c74c36b5e72b,true,0.010603,0.013056,0.05793,0.081589,"[""M74""]","[""Professional, scientific and technical activities""]"
4a36533a-5511-463a-ab12-ab9ed5a0cf35,true,0.017991,0.024863,0.083002,0.12585600000000002,"[""Q86""]","[""Human health and social work activities""]"
efd43425-dc75-4cbd-b246-c1003c9f516a,true,0.003099,0.006885,0.105457,0.11544099999999999,"[""C27""]","[""Manufacturing""]"
29acc96f-aada-459e-b825-a30857da2531,true,0.331665,0.010639,0.081268,0.423572,"[""A01""]","[""Agriculture, forestry and fishing""]"
188a2d87-f34c-4d2a-9363-71e6b933f289,true,0.00725,0.004856,0.150205,0.162311,"[""C30"",""C33""]","[""Manufacturing""]"
5a88058d-73ee-459f-901a-05604ee60cec,true,0.006087,0.004077,0.126108,0.136272,"[""C29"",""C30""]","[""Manufacturing""]"
c64095b1-a330-4472-842c-3809487c1ad3,true,0.009588,0.011806,0.052384,0.073778,"[""M73""]","[""Professional, scientific and technical activities""]"
