company_id,nace_section,nace_section_list,EmployeesTotal,emp_size_class,stratum,weight
F003514,multi-sector,"Wholesale and retail
trade; repair of motor
vehicles and motorcycles,
Manufacturing",22,small,multi-sector_small,NA
F005115,K,"Financial and insurance
activities",3,micro,K_micro,729.7977528089888
F008201,Q,"Human health and social
work activities",53,medium,Q_medium,96.6046511627907
F001151,G,"Wholesale and retail
trade; repair of motor
vehicles and motorcycles",75,medium,G_medium,177.1206896551724
F000891,G,"Wholesale and retail
trade; repair of motor
vehicles and motorcycles",1,micro,G_micro,3363.618320610687
F001248,J,"Information and
communication",118,medium,J_medium,19.323863636363637
F006996,C,Manufacturing,4,micro,C_micro,137.2015005359057
F008578,M,"Professional, scientific
and technical activities",12,small,M_small,265.29655172413794
F004560,Q,"Human health and social
work activities",64,medium,Q_medium,96.6046511627907
F007073,C,Manufacturing,2,micro,C_micro,137.2015005359057
F003796,J,"Information and
communication",20,small,J_small,72.72277227722772
F008610,C,Manufacturing,111,medium,C_medium,24.663716814159294
F004166,C,Manufacturing,7,micro,C_micro,137.2015005359057
F007512,C,Manufacturing,65,medium,C_medium,24.663716814159294
F006612,multi-sector,"Manufacturing,
Construction",10,small,multi-sector_small,NA
F005120,J,"Information and
communication",13,small,J_small,72.72277227722772
F000342,J,"Information and
communication",70,medium,J_medium,19.323863636363637
F004831,multi-sector,"Information and
communication, Arts,
entertainment and
recreation",18,small,multi-sector_small,NA
F006696,multi-sector,"Information and
communication,
Transportation and
storage, Education",21,small,multi-sector_small,NA
F008012,M,"Professional, scientific
and technical activities",2,micro,M_micro,2039.0412844036698
F002369,J,"Information and
communication",185,medium,J_medium,19.323863636363637
F005404,C,Manufacturing,10,small,C_small,59.8462441314554
F008127,C,Manufacturing,1,micro,C_micro,137.2015005359057
F005537,multi-sector,"Manufacturing,
Professional, scientific
and technical activities",185,medium,multi-sector_medium,NA
F007569,C,Manufacturing,1,micro,C_micro,137.2015005359057
F006274,multi-sector,"Administrative and
support service
activities, Professional,
scientific and technical
activities",16,small,multi-sector_small,NA
F000635,C,Manufacturing,86,medium,C_medium,24.663716814159294
F006932,I,"Accommodation and food
service activities",48,small,I_small,826.5689655172414
F003412,multi-sector,"Administrative and
support service
activities, Construction",99,medium,multi-sector_medium,NA
F001972,N,"Administrative and
support service
activities",2,micro,N_micro,1179.4625
F000713,multi-sector,"Administrative and
support service
activities, Construction,
Agriculture, forestry
and fishing, Wholesale
and retail trade; repair
of motor vehicles and
motorcycles",52,medium,multi-sector_medium,NA
F004907,multi-sector,"Administrative and
support service
activities, Construction,
Professional, scientific
and technical activities",63,medium,multi-sector_medium,NA
F008572,N,"Administrative and
support service
activities",155,medium,N_medium,52.260504201680675
F001611,A,"Agriculture, forestry and
fishing",3,micro,A_micro,NA
F007805,multi-sector,"Administrative and
support service
activities, Agriculture,
forestry and fishing,
Professional, scientific
and technical activities",1,micro,multi-sector_micro,NA
F006479,C,Manufacturing,1,micro,C_micro,137.2015005359057
F004213,H,"Transportation and
storage",73,medium,H_medium,38.82692307692308
F007391,H,"Transportation and
storage",177,medium,H_medium,38.82692307692308
F006608,multi-sector,"Manufacturing,
Information and
communication,
Professional, scientific
and technical activities,
Arts, entertainment and
recreation",40,small,multi-sector_small,NA
F000031,C,Manufacturing,1,micro,C_micro,137.2015005359057
F001123,C,Manufacturing,2,micro,C_micro,137.2015005359057
F004656,N,"Administrative and
support service
activities",14,small,N_small,159.59322033898306
F005636,multi-sector,"Arts, entertainment and
recreation, Education,
Administrative and
support service
activities",2,micro,multi-sector_micro,NA
F004932,C,Manufacturing,77,medium,C_medium,24.663716814159294
F005430,C,Manufacturing,59,medium,C_medium,24.663716814159294
F001269,C,Manufacturing,2,micro,C_micro,137.2015005359057
F006565,N,"Administrative and
support service
activities",13,small,N_small,159.59322033898306
F008086,multi-sector,"Administrative and
support service
activities, Other
service activities,
Arts, entertainment
and recreation, Water
supply; sewerage,
waste management and
remediation activities",71,medium,multi-sector_medium,NA
F006622,Q,"Human health and social
work activities",43,small,Q_small,797.056338028169
F003794,N,"Administrative and
support service
activities",111,medium,N_medium,52.260504201680675
F007738,multi-sector,"Information and
communication, Financial
and insurance activities",2,micro,multi-sector_micro,NA
F001240,multi-sector,"Information and
communication,
Administrative and
support service
activities",51,medium,multi-sector_medium,NA
F001539,multi-sector,"Transportation and
storage, Manufacturing,
Mining and quarrying",122,medium,multi-sector_medium,NA
F000227,multi-sector,"Electricity, gas, steam
and air conditioning
supply, Manufacturing,
Construction, Real estate
activities, Professional,
scientific and technical
activities",5,micro,multi-sector_micro,NA
F006170,C,Manufacturing,98,medium,C_medium,24.663716814159294
F002018,C,Manufacturing,32,small,C_small,59.8462441314554
F000398,C,Manufacturing,12,small,C_small,59.8462441314554
F006046,H,"Transportation and
storage",57,medium,H_medium,38.82692307692308
F000996,C,Manufacturing,26,small,C_small,59.8462441314554
F000486,C,Manufacturing,1,micro,C_micro,137.2015005359057
F002990,H,"Transportation and
storage",34,small,H_small,124.87150837988827
F001026,F,Construction,39,small,F_small,753.4320987654321
F001510,A,"Agriculture, forestry and
fishing",1,micro,A_micro,NA
F000020,F,Construction,16,small,F_small,753.4320987654321
F000165,E,"Water supply; sewerage,
waste management and
remediation activities",24,small,E_small,20.577235772357724
F006976,G,"Wholesale and retail
trade; repair of motor
vehicles and motorcycles",16,small,G_small,1113.3235294117646
F000173,D,"Electricity, gas, steam
and air conditioning
supply",93,medium,D_medium,33.05555555555556
F006610,F,Construction,14,small,F_small,753.4320987654321
F007669,C,Manufacturing,2,micro,C_micro,137.2015005359057
F004683,C,Manufacturing,16,small,C_small,59.8462441314554
F006211,C,Manufacturing,8,micro,C_micro,137.2015005359057
F001236,C,Manufacturing,11,small,C_small,59.8462441314554
F006129,C,Manufacturing,4,micro,C_micro,137.2015005359057
F005521,C,Manufacturing,3,micro,C_micro,137.2015005359057
F003855,multi-sector,"Manufacturing,
Professional, scientific
and technical activities",92,medium,multi-sector_medium,NA
F005301,F,Construction,109,medium,F_medium,60.10526315789474
F000272,multi-sector,"Electricity, gas, steam
and air conditioning
supply, Agriculture,
forestry and fishing",7,micro,multi-sector_micro,NA
F002231,C,Manufacturing,2,micro,C_micro,137.2015005359057
